query_id,TF-IDF only,BM25 only,Hybrid lexical (TF-IDF+BM25),Embeddings (E5),+ L1 hybrid signals,+ Cross-Encoder,+ RAG-Fusion + MMR (Full)
Q001,0.0000,0.1601,0.1546,0.2279,0.3102,0.3102,0.2985
Q002,0.2201,0.2201,0.2201,0.0000,0.0000,0.0000,0.0000
Q003,0.0000,0.3486,0.1546,0.0000,0.0000,0.0000,0.2201
Q004,0.2201,0.2201,0.2201,0.0000,0.0000,0.0000,0.2201
Q005,0.0851,1.0000,1.0000,0.0000,0.0000,0.0000,0.3629
Q006,0.0000,0.2934,0.1488,0.0851,0.0851,0.0851,0.0000
Q007,0.1063,0.2138,0.3328,0.1050,0.3089,0.3089,0.2985
Q008,0.2201,0.6016,0.3052,0.0000,0.0000,0.0000,0.0000
Q009,0.0000,0.0000,0.0000,0.0948,0.0948,0.0948,0.0000
Q010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q012,0.0000,0.0000,0.0000,0.0636,0.0663,0.0663,0.1763
Q013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0636
Q014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1682
Q015,0.0000,0.0000,0.0000,0.0663,0.0663,0.0663,0.1100
Q016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q017,0.1635,0.2051,0.3149,0.0000,0.0261,0.0261,0.0465
Q018,0.3188,0.2761,0.4164,0.3601,0.1255,0.1255,0.0954
Q019,0.2710,0.0000,0.1834,0.0000,0.0000,0.0000,0.0000
Q020,0.1313,0.1569,0.1160,0.5184,0.4695,0.4695,0.0851
Q021,0.0212,0.9149,0.0881,0.0000,0.0000,0.0000,0.0000
Q022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1689
Q024,0.0000,0.0663,0.0000,0.0000,0.0000,0.0000,0.0734
Q025,0.0000,0.0000,0.0000,0.0636,0.0636,0.0636,0.0996
Q026,0.1176,0.2589,0.1422,0.0284,0.0000,0.0000,0.0717
Q027,0.2489,0.1585,0.3149,0.7274,0.9266,0.9266,0.3052
Q028,0.1100,0.0000,0.0734,0.0000,0.0000,0.0000,0.0000
Q029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q030,0.0000,0.0000,0.0000,0.0316,0.2154,0.2154,0.1100
Q031,0.0000,0.0000,0.0000,0.4537,0.4690,0.4690,0.0663
Q032,0.0000,0.0000,0.0000,0.1010,0.0948,0.0948,0.0734
Q033,0.0952,0.0000,0.0000,0.2025,0.2817,0.2817,0.0000
Q034,0.3149,0.2745,0.4323,0.0898,0.0734,0.0734,0.3183
Q035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q036,0.1911,0.5153,0.4388,0.1100,0.1100,0.1100,0.0000
Q037,0.0000,0.0000,0.0000,0.0948,0.2863,0.2863,0.0000
Q038,0.0000,0.0000,0.0000,0.5225,0.5887,0.5887,0.0694
Q039,0.0000,0.0000,0.0000,0.0000,0.1428,0.1428,0.0000
Q040,0.0694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q041,0.0000,0.0000,0.0000,0.3590,0.3590,0.3590,0.0000
Q042,0.0231,0.1389,0.0784,0.0000,0.0000,0.0000,0.2895
Q043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q044,0.2186,0.8208,0.5963,0.5738,0.7656,0.7656,0.2935
Q045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q046,0.5806,0.5806,0.5806,0.6576,0.6576,0.6576,0.6754
